,Cadastrais - Nome
103,ALFA 5 BANDEJAS - PRATA/DOURADO 220V - A5
104,ALFA DUPLA 08 BANDEJAS DOURADA 220V AD8
115,ALUGUEL DE AMASSADEIRA AE-25
167,AMACIADOR DE CARNE AMC 18 (2564) SSV2 MONO 220V
168,AMACIADOR DE CARNE AMC 18 G PANIZ
169,AMACIADOR DE CARNE AMC 18 G. PANIZ
170,AMACIADOR DE CARNE BERMAR
171,AMACIADOR DE CARNE INOX ABL
172,AMACIADOR DE CARNE INOX ECCEL
173,AMACIADOR DE CARNE INOX ECCEL
174,AMACIADOR DE CARNE MALTA MANUAL
175,AMACIADOR DE CARNE METVISA
176,Amaciador de carne p/picador 22C/HD
177,Amaciador de carne p/picador 22-FZ
178,AMACIADOR DE CARNE POLI
179,AMACIADOR DE CARNE SIEMSEN
180,AMACIADOR DE CARNE VISA
182,AMASSAD SEMI RAP BASC VENANCIO ASRBV25 MON 25 220V
184,AMASSADEIRA ARC-25 G PANIZ 380v
185,AMASSADEIRA BASCULANTE PAZIANE 25Kg
186,AMASSADEIRA CONVENCIONAL LISBOA 40Kg
187,AMASSADEIRA ESPIRAL BRAESI AE-25 380v 2VEL
188,AMASSADEIRA ESPIRAL BRAESI AE-40 380v 2 VEL
189,AMASSADEIRA ESPIRAL G PANIZ AE-05 220v
190,AMASSADEIRA ESPIRAL G PANIZ AE-10 220v
191,AMASSADEIRA ESPIRAL G PANIZ AE-10 220v
192,AMASSADEIRA ESPIRAL G PANIZ AE-15 220v
193,AMASSADEIRA ESPIRAL G PANIZ AE-15 380v
194,AMASSADEIRA ESPIRAL G PANIZ AE-25 220v
195,AMASSADEIRA ESPIRAL G PANIZ AE-25 220v
196,AMASSADEIRA ESPIRAL G PANIZ AE-25 380v 2 VEL
197,AMASSADEIRA ESPIRAL G PANIZ AE-25 380v 2VEL
198,AMASSADEIRA ESPIRAL G PANIZ AE-25 380v 2VEL
199,AMASSADEIRA ESPIRAL G PANIZ AE-40 380v 2VEL
200,AMASSADEIRA ESPIRAL G PANIZ AE-40 380v 2VEL
201,AMASSADEIRA ESPIRAL G PANIZ AE-60 380v 2VEL
202,AMASSADEIRA ESPIRAL G PANIZ AE-60 380v 2VEL
203,AMASSADEIRA ESPIRAL G PANIZ AE-80 380v 2VEL
204,AMASSADEIRA ESPIRAL GASTROMAQ AE-25 INV
205,AMASSADEIRA ESPIRAL GASTROMAQ AE-40 380v 2VEL
206,AMASSADEIRA ESPIRAL HYPÓLITO 50Kg  380V 2VEL.
207,AMASSADEIRA ESPIRAL LONTE CASTELO AE-25 380v 2VEL
208,AMASSADEIRA ESPIRAL MANA AE-05 220v
209,AMASSADEIRA ESPIRAL MAQPAN 40Kg C/INVERSOR
210,AMASSADEIRA ESPIRAL OMESA 50Kg 380V 2VEL.
211,AMASSADEIRA ESPIRAL P PANIZ AE-15 220v
212,AMASSADEIRA ESPIRAL PERFECTA AE-40 220v C/INVERSOR
213,AMASSADEIRA ESPIRAL PERFECTA AE-80 380v 2VEL
214,AMASSADEIRA ESPIRAL SUPERFECTA AE-15 380v 2VEL
215,AMASSADEIRA ESPIRAL UNIVERSO AE-80 380v 2VEL.
216,AMASSADEIRA ESPIRAL VENANCIO AE-25 220v
217,AMASSADEIRA ESPIRAL VENANCIO VAE-40 220v
218,AMASSADEIRA ESPIRAL VENANCIO VAE40 380v 2vel
219,AMASSADEIRA ESPIRAL VENANCIO VAEMS25 220v
220,AMASSADEIRA G PANIZ AM-31 220v
221,AMASSADEIRA G PANIZ SEMI RAPIDA AM25 MONO 220
222,AMASSADEIRA G. PANIZ AM-25
223,AMASSADEIRA GASTROMAQ MES-25 2VEL ESPIRAL 380V
224,AMASSADEIRA GASTROMAQ MES-40 2VEL ESPIRAL 380V
225,AMASSADEIRA LIEME 7Kg
226,AMASSADEIRA LIEME AR-25Kg
227,AMASSADEIRA PASIANI LENTA P/25Kg 220v
228,AMASSADEIRA RÁP. AR-15 MONO 220v
229,AMASSADEIRA RÁPIDA AR-25 PERFECTA
230,AMASSADEIRA RÁPIDA ARV-15 VENÂNCIO MONOF 15Kg 220v
231,AMASSADEIRA RÁPIDA ARV-25 VENÂNCIO MONOF 25Kg 220v
232,AMASSADEIRA RAPIDA BRAESI AR-25 380v
233,AMASSADEIRA RÁPIDA BRAESI AR-25 380v
234,AMASSADEIRA RÁPIDA G. PANIZ AR-15 MONO
235,AMASSADEIRA RÁPIDA G. PANIZ AR-25 MONO
236,AMASSADEIRA RÁPIDA GASTROMAQ 25 220V MONO
237,AMASSADEIRA RAPIDA LIEME AR-07
238,AMASSADEIRA RAPIDA VENANCIO AR-07 MONO
239,AMASSADEIRA RAPIDA VENANCIO AR-07 MONO
240,AMASSADEIRA RÁPIDA VENANCIO AR-15 MONO
241,AMASSADEIRA RECORD CONV TRIF 380V 40 KG
242,AMASSADEIRA RECORD CONVENCIONAL TRIF 380V 50Kg 
243,Amassadeira Semi Rap 7kg G. PANIZ AM-07
244,AMASSADEIRA SEMI RAP G. PANIZ AM-25
245,AMASSADEIRA SEMI RÁPIDA G. PANIZ AM-15 MONO
246,AMASSADEIRA SEMI RÁPIDA VENANCIO 25Kg MONO
247,AMASSADEIRA SEMI RAPIDA VENANCIO 7KG MONO
248,AMASSADEIRA SEMI RAPIDA VENANCIO MONO
249,AMASSADEIRA SEMI-RÁPIDA LIEME 3Kg
250,AMASSADEIRA SEMI-RÁPIDA LIEME 7Kg
251,AMASSADEIRA SEMI-RÁPIDA VENANCIO 7Kg
252,AMASSADEIRA SIAM CONV TRIF 380V 80 KG 
253,AMASSADEIRA SIAM CONVENCIONAL mono 220v 40Kg
254,Amassadeira Superfecta 160Kg convencional
255,AMASSADEIRA SUPERFECTA CONV TRIF 380V 40 KG 
256,AMASSADEIRA SUPERFECTA CONV TRIF 380V 80 KG
257,AMASSADEIRA VENANCIO ESPIRAL MONOF 25 220V
258,AMASSADEIRA VENANCIO RÁPIDA ARV-25 220V
259,AMASSADEIRA VENANCIO RAPIDA MONOF 15kg 220V
260,AMASSADEIRA VENANCIO SEMI RAPIDA 25 MONOF
261,AMASSADOR VITALEX DE BATATAS MEDIO LUXO
491,ANTEPARA PARA BAND GONDOLA M MOVEIS
506,APLIC FILME INOX BARRA CORTE AF 450 IB
507,APLIC FILME PINT EPOXI AF 450
508,APLIC FILME PINT EPOXI AF 450 BARRA DE CORTE
509,APLICADOR DE FILME BARRA DE CORTE
510,APLICADOR DE FILME PANORAN INOX 400MM
511,Aplicador de filme PS AF-400
512,APLICADOR DE FILME SELP 450MM 220V
513,APLICADOR FILME R BAIAO 400MM BIVOLT INOX
514,APLICADOR FILME R BAIAO CORTE FRIO 400MM
515,APLICADOR FILME R BAIAO CORTE FRIO 400MM INOX
523,AR CONDICIONADO CONSUL 7.500 BTUS
526,ARCO SERRA 600mm
527,ARMARIO EM MELAMINIO C/02 PORTAS 195x90x40CM
528,ARMARIO SOACO 2 PORTAS 195 X 90 X 30
529,ARMARIO SUPER TOP P/PAES 1500
530,ARMARIO SUPER TOP PARA PAES 1500
531,ARMARIO VENANCIO DE CRES MOD 20T 220V AC20T
855,ASSADOR  30 FRANGOS PR-631
856,ASSADOR ROTATIVO VERTICAL 150 127/220V 60HZ
857,ASSADOR VENANCIO GAS TEXAS 5 ASTG5
859,AUTO SERVIÇO SUPER TOP FRIOS E LATICÍNIOS 3000
910,BAL  DIGITAL URANO  POP-S US 15/5
911,BAL  DIGITAL URANO POP-S US20/2
912,BAL  DIGITAL URANO POP-Z US 20/2
913,BAL DIGITAL CHEF CAP 5KG
914,BAL DIGITAL GOURMET CAP 5KG
915,BAL ELETRONICA ELGIN 15Kg
916,BAL Mod. US 20/2 Pop-Z Light Preta R.004
917,BAL ROMANA COMPOSTA 150KG 5 RC
