,Cadastrais - Nome,Cadastrais - Classe - Nome,Cadastrais - Subclasse - Nome,Adicionais - Código de Barras
0,ABACAXI EM CALDA FATIADO 400G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7896369614056.0
16,ACHOCOLATADO EM PO 200G ,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898286200787.0
17,ÁCIDO CÍTRICO 1Kg,PRODUTOS,PEC - ENGRENAGEM,
18,ACIDO CITRICO ARCOLOR 40G,PRODUTOS,PEC - ENGRENAGEM,7896226301051.0
19,ACIDO CITRICO DUPORTO 150G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7896395107072.0
20,ACIDO CITRICO ICEBERG 50G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898329013312.0
49,ACUCAR BOM SABOR SACHE 336X5G,PRODUTOS,PROD - CULINARIOS,7896804600453.0
50,ACUCAR CONF BIGMIX 1KG,PRODUTOS,PROD - ACUCAR CONF,7898407506521.0
51,ACUCAR CONF HARALD 1KG,PRODUTOS,PROD - ACUCAR CONF,7897077800137.0
52,ACUCAR CONF ICEBERG 500G,PRODUTOS,PROD - ACUCAR CONF,7898329015408.0
53,ACUCAR CONF JUNCO 1KG,PRODUTOS,PROD - ACUCAR CONF,7896523145082.0
54,ACUCAR CONF MIX 1KG,PRODUTOS,PROD - ACUCAR CONF,7897011502080.0
55,ACUCAR CONF MIX IMP 1KG,PRODUTOS,PROD - ACUCAR CONF,7897011501533.0
56,ACUCAR CRISTAL MARATA SACHE 400X4G,PRODUTOS,PROD - CULINARIOS,17898617581216.0
57,ACUCAR CRISTAL MIX AMARELO 80G,PRODUTOS,PROD - ACUCAR CONF,7897011501755.0
58,ACUCAR CRISTAL MIX AZUL 80G,PRODUTOS,PROD - ACUCAR CONF,7897011501779.0
59,ACUCAR CRISTAL MIX INCOLOR 80G,PRODUTOS,PROD - ACUCAR CONF,7897011501748.0
60,ACUCAR CRISTAL MIX ROSA 500G,PRODUTOS,PROD - ACUCAR CONF,7897011502332.0
61,ACUCAR CRISTAL MIX ROSA 80G,PRODUTOS,PROD - ACUCAR CONF,7897011501762.0
62,ACUCAR CRISTAL MIX VERDE 80G,PRODUTOS,PROD - ACUCAR CONF,7897011501816.0
63,ACUCAR CRISTAL MIX VERMELHO 80G,PRODUTOS,PROD - ACUCAR CONF,7897011501793.0
64,ACUCAR GELADO MIX 1KG,PRODUTOS,PROD - ACUCAR CONF,7896411855833.0
65,ACUCAR IMPALPAVEL ICEBERG 500G,PRODUTOS,PROD - ACUCAR CONF,7898329015385.0
66,AÇUCAR IMPALPAVEL JUNCO 1KG,PRODUTOS,PROD - ACUCAR CONF,7896523145136.0
67,ACUCAR MIX BAUNILHA  50G,PRODUTOS,PROD - ACUCAR CONF,7897011501861.0
68,ACUCAR PREMIUM UNIAO SACHE 400X5G,PRODUTOS,PROD - CULINARIOS,17891910020147.0
69,ACUCAR REFINADO BEM AMADO 1KG,PRODUTOS,PROD - CULINARIOS,40141906120.0
70,ACUCAR REFINADO UNIAO 1KG,PRODUTOS,PROD - CULINARIOS,7891910000197.0
71,ACUCAR VANILLE ARCOLOR 40G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7896226309712.0
86,"ADOCANTE BOM SABOR SACHE 1000X0,6G",PRODUTOS,PROD - CULINARIOS,7896804600095.0
87,ADOCANTE BOM SABOR SACHE 100UND ,PRODUTOS,PROD - CULINARIOS,
88,"ADOCANTE BOM SABOR SACHE 500X0,6G",PRODUTOS,PROD - CULINARIOS,7896804602884.0
89,ADOÇANTE DEGUST BOM SABOR SACHE 1000 UND,PRODUTOS,PEC - ENGRENAGEM,
90,ADOCANTE UNIAO SACHE 400X6G,PRODUTOS,PROD - SACHE,17891910020192.0
95,AGAR AGAR ARCOLOR 30G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7896226302270.0
96,AGUARDENTE DE CANA 150ML,PRODUTOS,PROD - PRODUTOS DIVERSOS,7896547500089.0
97,ALCOOL CEREAIS 200ML,PRODUTOS,PROD - PRODUTOS DIVERSOS,
98,ALCOOL CEREAIS 5L,PRODUTOS,PROD - PRODUTOS DIVERSOS,
99,ALCOOL CEREAIS ICEBERG 270ML,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898329015958.0
100,ALCOOL CEREAIS ICEBERG 50ML,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898329016313.0
101,ALCOOL CEREAIS SUGAR ART 270ML,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898956779360.0
102,ALECRIM FRESCO,PRODUTOS,PROD - TEMPEROS,
105,ALG. CHOCOLATE BRANCO LATA 02Kg,PRODUTOS,PEC - ENGRENAGEM,
106,ALGEMIX BLUE ICE 01Kg,PRODUTOS,PROD - PROD SORVETE,
107,Algemix doce de leite gold 01Kg,PRODUTOS,PEC - ENGRENAGEM,
181,"AMACIANTE PO QUALIMAX CARNE 1,01KG",PRODUTOS,PROD - TEMPEROS,7891122115436.0
262,AMEDOIM BENFIL TOR GRANULADO 500G,PRODUTOS,PROD - FRUTAS/GRAOS,7898959809750.0
263,AMEDOIM BENFIL TOR METADES 1KG,PRODUTOS,PROD - FRUTAS/GRAOS,7898959809439.0
264,AMEDOIM BENFIL TOR METADES 500G,PRODUTOS,PROD - FRUTAS/GRAOS,7898959809743.0
265,Ameixa Chil sem caroço 110/132 1Kg,PRODUTOS,PEC - ENGRENAGEM,
266,AMEIXA CONSAGRADO S/C ARG 132/154 1KG,PRODUTOS,PEC - ENGRENAGEM,
267,AMEIXA S/ CAROÇO RETALHO,PRODUTOS,PEC - ENGRENAGEM,
268,AMEIXA S/C 110x132 1Kg,PRODUTOS,PEC - ENGRENAGEM,
269,AMEIXA S/C LAVIVA 1KG,PRODUTOS,PROD - FRUTAS/GRAOS,7908298020911.0
270,AMEIXA S/C VARGAS 1Kg,PRODUTOS,PEC - ENGRENAGEM,
271,AMEIXA SECA S/C IMP 10KG,PRODUTOS,PROD - FRUTAS/GRAOS,
272,AMEIXA SECA S/C IMP 125G,PRODUTOS,PROD - FRUTAS/GRAOS,
273,AMEIXA SECA S/C IMP 150G,PRODUTOS,PROD - FRUTAS/GRAOS,
274,AMEIXA SECA S/C IMP 1KG,PRODUTOS,PROD - FRUTAS/GRAOS,
275,AMEIXA SECA S/C IMP 500G,PRODUTOS,PROD - FRUTAS/GRAOS,
276,AMEIXA SECA TAAZA S/ CAROCO 1KG,PRODUTOS,PEC - ENGRENAGEM,
277,AMEIXA SEM CAR. 110-132 CONSAGRADO 1Kg,PRODUTOS,PEC - ENGRENAGEM,
278,AMEIXAS SECAS SEM CAROÇO 500G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7896369615527.0
